date,sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
20251201,1,8035.T,0.0,0.0,0.0,0.0
20251201,10,8035.T,0.0,0.0,0.0,0.0
20251202,1,8035.T,0.0,0.0,0.0,0.0
20251202,10,8035.T,0.0,0.0,0.0,0.0
20251203,1,8035.T,0.0,0.0,0.0,0.0
20251203,10,8035.T,0.0,0.0,0.0,0.0
20251204,1,8035.T,0.0,0.0,0.0,0.0
20251204,10,8035.T,0.0,0.0,0.0,0.0
20251205,1,8035.T,0.0,0.0,0.0,0.0
20251205,10,8035.T,0.0,0.0,0.0,0.0
20251208,1,8035.T,0.0,0.0,0.0,0.0
20251208,10,8035.T,0.0,0.0,0.0,0.0
20251209,1,8035.T,0.0,0.0,0.0,0.0
20251209,10,8035.T,0.0,0.0,0.0,0.0
20251210,1,8035.T,0.0,0.0,0.0,0.0
20251210,10,8035.T,0.0,0.0,0.0,0.0
20251211,1,8035.T,0.0,0.0,0.0,0.0
20251211,10,8035.T,0.0,0.0,0.0,0.0
20251212,1,8035.T,0.0,0.0,0.0,0.0
20251212,10,8035.T,0.0,0.0,0.0,0.0
20251215,1,8035.T,0.0,0.0,0.0,0.0
20251215,10,8035.T,0.0,0.0,0.0,0.0
20251216,1,8035.T,0.0,0.0,0.0,0.0
20251216,10,8035.T,0.0,0.0,0.0,0.0
20251217,1,8035.T,0.0,0.0,0.0,0.0
20251217,10,8035.T,0.0,0.0,0.0,0.0
20251218,1,8035.T,0.0,0.0,0.0,0.0
20251218,10,8035.T,0.0,0.0,0.0,0.0
20251219,1,8035.T,0.0,0.0,0.0,0.0
20251219,10,8035.T,0.0,0.0,0.0,0.0
20251222,1,8035.T,0.0,0.0,0.0,0.0
20251222,10,8035.T,0.0,0.0,0.0,0.0
20251223,1,8035.T,0.0,0.0,0.0,0.0
20251223,10,8035.T,0.0,0.0,0.0,0.0
20251224,1,8035.T,0.0,0.0,0.0,0.0
20251224,10,8035.T,0.0,0.0,0.0,0.0
20251225,1,8035.T,0.0,0.0,0.0,0.0
20251225,10,8035.T,0.0,0.0,0.0,0.0
20251226,1,8035.T,0.0,0.0,0.0,0.0
20251226,10,8035.T,0.0,0.0,0.0,0.0
20251229,1,8035.T,0.0,0.0,0.0,0.0
20251229,10,8035.T,0.0,0.0,0.0,0.0
20251230,1,8035.T,0.0,0.0,0.0,0.0
20251230,10,8035.T,0.0,0.0,0.0,0.0
20251231,1,8035.T,0.0,0.0,0.0,0.0
20251231,10,8035.T,0.0,0.0,0.0,0.0
20260101,1,8035.T,0.0,0.0,0.0,0.0
20260101,10,8035.T,0.0,0.0,0.0,0.0
20260102,1,8035.T,0.0,0.0,0.0,0.0
20260102,10,8035.T,0.0,0.0,0.0,0.0
20260105,1,8035.T,0.0,0.0,0.0,0.0
20260105,10,8035.T,0.0,0.0,0.0,0.0
20260106,1,8035.T,0.0,0.0,0.0,0.0
20260106,10,8035.T,0.0,0.0,0.0,0.0
20260107,1,8035.T,0.0,0.0,0.0,0.0
20260107,10,8035.T,0.0,0.0,0.0,0.0
20260108,1,8035.T,0.0,0.0,0.0,0.0
20260108,10,8035.T,0.0,0.0,0.0,0.0
20260109,1,8035.T,0.0,0.0,0.0,0.0
20260109,10,8035.T,0.0,0.0,0.0,0.0
20260112,1,8035.T,0.0,0.0,0.0,0.0
20260112,10,8035.T,0.0,0.0,0.0,0.0
20260113,1,4568.T,-3090.5763712099542,-4323.418326964165,-3861.8826102863136,-5014.8200981797945
20260113,1,7011.T,-2504.700227839847,-3410.4024428635416,-3042.731982648876,-3961.9128472580182
20260113,1,8035.T,-2156.0831060260057,-2899.3271335276013,-2636.124734756556,-3502.7833682153773
20260113,10,4568.T,-7973.942646448293,-13168.616560948029,-10962.097467686966,-14854.156428707103
20260113,10,7011.T,-7347.031832159155,-10578.925495930333,-9317.941353212464,-11752.802009578114
20260113,10,8035.T,-6556.082115689344,-9670.06122322602,-8437.048257680994,-10875.571139750036
20260114,1,4568.T,-3753.45495594219,-5087.794493414943,-4692.637167882802,-6374.25275871851
20260114,1,7011.T,-2925.1366725786484,-3841.930191506682,-3479.0175556274985,-4196.466095142814
20260114,1,8035.T,-2504.9782791808034,-3442.1696583897847,-3062.6838192180403,-3956.759362440186
20260114,10,4568.T,-9633.074463187124,-14630.889499350356,-13086.215784927506,-16807.162199696446
20260114,10,7011.T,-7932.196020199879,-11726.232899433682,-10209.118859586706,-13477.530515328128
20260114,10,8035.T,-7289.1236904902225,-10932.50223781421,-9712.375016404229,-13076.969767689274
20260115,1,4568.T,-3791.5992225820687,-5390.954631094466,-4809.649218053587,-6533.6814082825085
20260115,1,7011.T,-2906.632949468421,-3980.1436190084814,-3594.807835342147,-4478.3991897891565
20260115,1,8035.T,-2941.6796133581324,-4057.5869565021967,-3647.641208601355,-4729.939732463527
20260115,10,4568.T,-9290.564015399235,-12854.17651952488,-11342.717336938002,-14412.86065389482
20260115,10,7011.T,-8091.380375778567,-11335.30816281714,-10019.871171950108,-12983.057990343415
20260115,10,8035.T,-6970.849924876612,-11012.410753638856,-9327.19151808432,-12924.252836066187
20260116,1,4568.T,-3419.8855895505585,-4700.7467941671075,-4278.315107022205,-5548.546593836777
20260116,1,7011.T,-2496.945464266791,-3319.4663359023657,-3054.240072812494,-3918.847787335714
20260116,1,8035.T,-2530.235662194598,-3480.7775178274615,-3200.916670019684,-4129.873632691383
