date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20251201,normal,1,31358.703125,-1552.525666623475,-2046.7139740612795,-1853.1425055962504,-2292.57518390152
20251201,stress,1,31358.703125,-2273.801214533967,-2994.7045801760237,-2718.5239400299843,-3219.4691504342586
20251201,normal,10,31358.703125,-4455.897772330051,-6120.480274848231,-5658.118455412765,-7536.858991981722
20251201,stress,10,31358.703125,-6625.807192030346,-9244.443289619468,-8199.580582920897,-11082.35636349486
20251202,normal,1,31031.533203125,-1416.3034520527651,-2009.402154475184,-1797.5891534947484,-2318.3918326706084
20251202,stress,1,31031.533203125,-1995.6316415680187,-2660.3982245662496,-2435.037637066323,-3008.1225402523382
20251202,normal,10,31031.533203125,-4111.194449444484,-5713.096728285818,-5293.079715333903,-6799.632543770213
20251202,stress,10,31031.533203125,-6654.115060969402,-9203.768896995256,-8451.544879337596,-11255.433814605814
20251203,normal,1,32498.837890625,-1471.539769977,-2291.0333483469067,-1956.113639879697,-2442.839441594429
20251203,stress,1,32498.837890625,-2158.383403351382,-3001.57571482866,-2705.524388455881,-3298.578454676849
20251203,normal,10,32498.837890625,-4638.194695111426,-6510.393277875738,-5817.359012249856,-7468.159735007199
20251203,stress,10,32498.837890625,-6669.8772350443005,-9545.756219899644,-8557.51560076326,-11675.361978569725
20251204,normal,1,33529.91796875,-1772.9109930918526,-2412.8730732188737,-2179.7847996766636,-2816.9551233929274
20251204,stress,1,33529.91796875,-2198.0518271972705,-3157.752315167723,-2744.7498570355738,-3574.729941867498
20251204,normal,10,33529.91796875,-4673.08755182101,-6658.197579184832,-5839.260874953321,-7469.278841388415
20251204,stress,10,33529.91796875,-6971.267749318268,-9909.263892873989,-8888.555922542982,-10768.745973857262
20251205,normal,1,32855.75,-1562.3371506079734,-2240.915932129132,-1971.9428354145668,-2478.7853427244277
20251205,stress,1,32855.75,-2085.362287370734,-3012.590204407681,-2678.83883882706,-3349.168906357723
20251205,normal,10,32855.75,-4395.228134039744,-6526.71948413876,-5787.128752275998,-7719.8452993603805
20251205,stress,10,32855.75,-6936.66803474768,-9800.15798467057,-8769.206439465906,-11279.575107662622
20251208,normal,1,32875.578125,-1523.7358913153964,-2275.2951632574413,-2026.3398520075664,-2781.3202828354288
20251208,stress,1,32875.578125,-2227.394868222279,-2867.9777162746173,-2618.1614219730823,-3274.7941709083534
20251208,normal,10,32875.578125,-4858.901530504685,-6962.02737916335,-6259.554490008491,-8689.239971649688
20251208,stress,10,32875.578125,-6938.043450952531,-9965.236047042274,-8872.97047740975,-11821.23102880806
20251209,normal,1,33301.890625,-1470.3001202452135,-2212.070107228406,-1939.8942815985288,-2569.766949037933
20251209,stress,1,33301.890625,-2302.9424312778588,-3305.796601303424,-2849.176883504167,-3686.278351847649
20251209,normal,10,33301.890625,-4487.212899345055,-6368.86711474347,-5545.372561290537,-7441.483756652659
20251209,stress,10,33301.890625,-6972.129096973243,-9623.026894145922,-8808.50865437882,-11038.230758961648
20251210,normal,1,32835.921875,-1567.3936591749482,-2118.869716912702,-1905.035179506074,-2331.1811591401174
20251210,stress,1,32835.921875,-2222.4265910953354,-3284.6141073390754,-2872.919248247168,-3629.282751853402
20251210,normal,10,32835.921875,-4382.77026226676,-6450.875420105402,-5617.523141994793,-7188.36069884748
20251210,stress,10,32835.921875,-6524.313734581494,-9544.288151456029,-8400.493260745545,-11308.84198470242
20251211,normal,1,32320.3828125,-1489.908034598096,-1974.4792873344024,-1803.6988594750064,-2264.1082391303307
20251211,stress,1,32320.3828125,-2186.2015463478574,-2850.573298087374,-2640.342924691468,-3197.621477177936
20251211,normal,10,32320.3828125,-4225.888494202591,-6448.605350338734,-5636.622953749935,-7580.063787241142
20251211,stress,10,32320.3828125,-6539.101434106691,-10168.18872706758,-8579.77595673962,-12058.32375247924
20251212,normal,1,31229.81640625,-1391.9609777249927,-1878.532976006888,-1732.0698304683704,-2257.7522642621243
20251212,stress,1,31229.81640625,-2096.3785047779684,-2795.9686069900094,-2571.8107983004047,-3336.7601594806315
20251212,normal,10,31229.81640625,-4452.430680700175,-6416.59228033097,-5630.17840254012,-7275.0888738239155
20251212,stress,10,31229.81640625,-7145.508755355706,-9770.232166818572,-8844.392492115554,-11362.44925928296
20251215,normal,1,30872.904296875,-1563.7632776148075,-2311.0110577428713,-2055.8847132918263,-2527.6799768509663
20251215,stress,1,30872.904296875,-1951.2338596848408,-2945.612190418411,-2576.684752762781,-3295.0365083157567
20251215,normal,10,30872.904296875,-4305.088641186112,-6230.760722842339,-5508.70499237675,-6981.202284988899
20251215,stress,10,30872.904296875,-6184.031352434104,-9164.171921418903,-8018.865245120064,-10642.07881302085
20251216,normal,1,30704.36328125,-1485.6078102674792,-2013.131829965404,-1782.4765976633626,-2192.980239554053
20251216,stress,1,30704.36328125,-2021.9100778020904,-2658.5460328451945,-2416.790377282187,-2947.6549486825843
20251216,normal,10,30704.36328125,-4427.97195761969,-6414.393570095815,-5619.623258866137,-7094.743328085899
20251216,stress,10,30704.36328125,-6526.633281911393,-8619.668352441944,-7986.685964586084,-10744.261836926593
