date,ticker,company_name,price
20251201,4568.T,Daiichi Sankyo,3767.180419921875
20251201,7011.T,Mitsubishi Heavy Industries,3891.76953125
20251201,8035.T,Tokyo Electron,31358.703125
20251201,JAPAN_ETF,Japan Equity ETF (EWJ proxy),79.55339050292969
20251202,4568.T,Daiichi Sankyo,3664.564697265625
20251202,7011.T,Mitsubishi Heavy Industries,3850.877197265625
20251202,8035.T,Tokyo Electron,31031.533203125
20251202,JAPAN_ETF,Japan Equity ETF (EWJ proxy),79.49555969238281
20251203,4568.T,Daiichi Sankyo,3513.60107421875
20251203,7011.T,Mitsubishi Heavy Industries,3875.8115234375
20251203,8035.T,Tokyo Electron,32498.837890625
20251203,JAPAN_ETF,Japan Equity ETF (EWJ proxy),79.63050842285156
20251204,4568.T,Daiichi Sankyo,3524.45458984375
20251204,7011.T,Mitsubishi Heavy Industries,4037.38671875
20251204,8035.T,Tokyo Electron,33529.91796875
20251204,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.60408782958984
20251205,4568.T,Daiichi Sankyo,3409.998779296875
20251205,7011.T,Mitsubishi Heavy Industries,4072.295166015625
20251205,8035.T,Tokyo Electron,32855.75
20251205,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.68119049072266
20251208,4568.T,Daiichi Sankyo,3383.358154296875
20251208,7011.T,Mitsubishi Heavy Industries,4196.96728515625
20251208,8035.T,Tokyo Electron,32875.578125
20251208,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.18959045410156
20251209,4568.T,Daiichi Sankyo,3423.8125
20251209,7011.T,Mitsubishi Heavy Industries,4254.8154296875
20251209,8035.T,Tokyo Electron,33301.890625
20251209,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.30525970458984
20251210,4568.T,Daiichi Sankyo,3369.54443359375
20251210,7011.T,Mitsubishi Heavy Industries,4233.8701171875
20251210,8035.T,Tokyo Electron,32835.921875
20251210,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.88362884521484
20251211,4568.T,Daiichi Sankyo,3315.276611328125
20251211,7011.T,Mitsubishi Heavy Industries,4039.381591796875
20251211,8035.T,Tokyo Electron,32320.3828125
20251211,JAPAN_ETF,Japan Equity ETF (EWJ proxy),81.18244171142578
20251212,4568.T,Daiichi Sankyo,3316.26318359375
20251212,7011.T,Mitsubishi Heavy Industries,4146.10107421875
20251212,8035.T,Tokyo Electron,31229.81640625
20251212,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.97037506103516
20251215,4568.T,Daiichi Sankyo,3432.692626953125
20251215,7011.T,Mitsubishi Heavy Industries,4067.30810546875
20251215,8035.T,Tokyo Electron,30872.904296875
20251215,JAPAN_ETF,Japan Equity ETF (EWJ proxy),81.80899810791016
20251216,4568.T,Daiichi Sankyo,3360.664306640625
20251216,7011.T,Mitsubishi Heavy Industries,3957.5966796875
20251216,8035.T,Tokyo Electron,30704.36328125
20251216,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.8499984741211
20251217,4568.T,Daiichi Sankyo,3415.9189453125
20251217,7011.T,Mitsubishi Heavy Industries,3898.751220703125
20251217,8035.T,Tokyo Electron,31051.361328125
20251217,JAPAN_ETF,Japan Equity ETF (EWJ proxy),79.73999786376953
20251218,4568.T,Daiichi Sankyo,3296.529541015625
20251218,7011.T,Mitsubishi Heavy Industries,3801.00830078125
20251218,8035.T,Tokyo Electron,30050.0234375
20251218,JAPAN_ETF,Japan Equity ETF (EWJ proxy),79.97000122070312
20251219,4568.T,Daiichi Sankyo,3256.0751953125
20251219,7011.T,Mitsubishi Heavy Industries,3871.822021484375
20251219,8035.T,Tokyo Electron,30932.390625
20251219,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.58000183105469
20251222,4568.T,Daiichi Sankyo,3241.27490234375
20251222,7011.T,Mitsubishi Heavy Industries,3875.8115234375
20251222,8035.T,Tokyo Electron,32885.4921875
20251222,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.45999908447266
20251223,4568.T,Daiichi Sankyo,3287.649169921875
20251223,7011.T,Mitsubishi Heavy Industries,3885.785400390625
20251223,8035.T,Tokyo Electron,32716.951171875
20251223,JAPAN_ETF,Japan Equity ETF (EWJ proxy),81.13999938964844
20251224,4568.T,Daiichi Sankyo,3295.542724609375
20251224,7011.T,Mitsubishi Heavy Industries,3881.7958984375
20251224,8035.T,Tokyo Electron,32935.06640625
20251224,JAPAN_ETF,Japan Equity ETF (EWJ proxy),81.0
20251225,4568.T,Daiichi Sankyo,3365.59765625
20251225,7011.T,Mitsubishi Heavy Industries,3861.848388671875
20251225,8035.T,Tokyo Electron,33500.17578125
20251226,4568.T,Daiichi Sankyo,3387.304931640625
20251226,7011.T,Mitsubishi Heavy Industries,3840.9033203125
20251226,8035.T,Tokyo Electron,34035.54296875
20251226,JAPAN_ETF,Japan Equity ETF (EWJ proxy),80.97000122070312
20251229,4568.T,Daiichi Sankyo,3325.1435546875
20251229,7011.T,Mitsubishi Heavy Industries,3871.822021484375
20251229,8035.T,Tokyo Electron,33936.40234375
20251229,JAPAN_ETF,Japan Equity ETF (EWJ proxy),81.08999633789062
